tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,55-16,55,ASB 76-55-16 Rev.A,Vertical Stabilizer - Tail Gear Box Forward Fairings; One-Time and Recurring Inspection of,SB,17-Feb-2000,ASB 76-55-16 Rev.A,,,0:00,,All S-76 Models
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,55-18,55,ASB 76-55-18,Horizontal Stabilizer Assembly - One-Time Inspection of,SB,17-Dec-2001,ASB 76-55-18,,,0:00,,"All S-76 helicopters delivered prior to issue date of this ASB.Components: 76200-06000 series,76200-06003 series , 76080-20063 series horizontal stabilizer assembly"
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,55-19,55,ASB 76-55-19,Vertical Stabilizer - Perform a One-Time Inspection of the Horizontal Stabilizer Assembly Bathtub Fitting,SB,15-May-2002,ASB 76-55-19,,,0:00,,"For S-76B model aircraft 760445 through 760507. For S-76C/C+ model aircraft 760446 through 760497, 760499, and 760501 through 760519. (Aircraft 760498 and 760500 are Exempt.)"
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,55-20,55,ASB 76-55-20 Rev.A,Vertical Stabilizer Inspection,SB,11-Nov-2003,ASB 76-55-20 Rev.A,,,0:00,,S-76A and C model helicopters including S-76A and C model helicopters that have had the aft spar assembly replaced.
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,55-21,55,ASB 76-55-21,Vertical Stabilizer - Aft Spar Assembly - Modification of,SB,09-Feb-2006,ASB 76-55-21,,,0:00,,Model: All S-76 helicopter serial numbers up to and including 760578 and helicopter serial Number 762976.
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,65-18,65,ASB 76-65-18 Rev.C,Rotors - Main composite root end attachement hole area,SB*,03-Jan-1985,ASB 76-65-18 Rev.C,,,0:00,,"Model S 76, Component: 76150-09000 and 6150-09100 series main rotor blades"
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,65-43,65,ASB 76-65-43 Rev.B,Rotors - Tail rotor blade assemblies - bumper and bumper pad installation - one time inspection for proper grip,SB,14-Jul-1993,ASB 76-65-43 Rev.B,,,0:00,,All S 76 model prior to SS No 760414
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,65-44,65,ASB 76-65-44,"Rotors - Tail rotor blade assembly - horn assemblies - inspection of, fiberglass fairing assemblies - modification of",SB,26-Jul-1993,ASB 76-65-44,,,0:00,,All S 76 model prior to SS no 760414
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,65-45,65,ASB 76-65-45 Rev.A,Rotors - Tail rotor controls rod assemblies-rod ends-inspection for cracks,SB,08-Jul-1994,ASB 76-65-45 Rev.A,,,0:00,,"All S 76 model prior to and inclding SS no760402,excluding SS no760385 and 760386"
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,65-46,65,ASB 76-65-46,Rotors - tail rotor blades - one time inspection of,SB,09-Aug-1996,ASB 76-65-46,,,0:00,,"All S76C models Component:76101-05001(series),76101-05101(series),76101-05501(series) tail rotor blades"
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,65-47,65,ASB 76-65-47,Rotors - Swashplate assembly - uniball bearing retainer bolts - one time inspection and replacement of,SB,31-Jul-1998,ASB 76-65-47,,,0:00,,All S 76 series prior to SS no 760488
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,65-48,65,ASB 76-65-48,Rotors - Main Rotor Blade - Leading Edge Strip/ Skin; One Time Coin - Tap and visual Inspection.,SB,17-Mar-1999,ASB 76-65-48,,,0:00,,Refer ASB
