tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M112,34,EASA AD 2010-0067,Navigation-Mode S Transponder -Check / Modification,MIS,11-May-2010,DGCA/New Misc/112 R1,,,0:00,,"Rockwell Collins Mode S Transponders identified by type TDR-94, TDR-94D and P/N (all s/n) as in AD, installed on ATR 42, ATR 72, Bombardier, Falcon, Hawker Beechcraft 200 & 400 series."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M113,25,FAR PART 121.311,Implementation of Federal Aviation Administration (FAA) regarding crashworthiness Standard for Passenger Operations.,MIS,23-Jul-2009,DGCA/New Misc/113 R1,,,0:00,,Transport Category Airplanes
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M113,25,FAR PART 121.311,Implementation of Federal Aviation Administration (FAA) Regarding crashworthiness Standard for Passenger Operations,MIS,23-Jul-2009,DGCA/New Misc/113 Rev.1,,,0:00,,Transport Category Airplanes
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M114,25,FAA AD 2010-03-02,"To prevent failure of a hook during rescue hoist operations, loss of the rescued passenger, and subsequent serious injury or fatality.",MIS,09-Jul-2009,DGCA/New Misc/114 R1,,,0:00,,"All helicopters, which have a rescue hoist assembly installed that contains a Lifesaving Systems Corp. D-Lok Hook assembly, P/N 410-A or 410-F, lot number 208 or 1108."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M116,34,EASA AD 2009-0200,Navigation - Mode A/C Transponder - Check/ Replacement,MIS,22-Sep-2009,DGCA/New Misc/116,,,0:00,,"Narco Avionics Inc. AT-150 Mode A/C transponder, all P/N, all S/N known to be installed on, but not limited to aircraft certified under CS23/ by EU member states prior to 28-09-03."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M118,35,FAA AD 2009-21-10 R1,"To Prevent An Oxgen Cylinder from Rupturing, Which Depending on the Location Could REsult in Structural Damage & Rapid Decompression Of the Airplane",MIS,07-Jan-2010,DGCA/New Misc/118 Rev.1,,,0:00,,"This AD applies to the oxygen cylinder assemblies, approved under United States Department of Transportation Regulations for Type 3HT cylinders, identified in Table 1 of this AD. (Ref AD)."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M118,35,FAA AD 2009-21-10 R1,"To Prevent An Oxgen Cylinder from Rupturing, Which Depending on the Location Could REsult in Structural Damage & Rapid Decompression Of the Airplane",MIS,04-Feb-2010,DGCA/New Misc/118 Rev.1,,,0:00,,"AVOX Systems and B/E Aerospace oxygen cylinder assemblies, approved under United States Department of Transportation Regulations for Type 3HT cylinders, identified in Table 1 of this AD."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M122,34,EASA AD 2010-0003 R1,Navigation - Mode S Transponder Aircraft Type Mode Strapping - Check / Modification,MIS,18-Feb-2010,DGCA/New Misc/122,,,0:00,,"Rockwell Collins Mode S Transponders identified by type & P/N as follows. TDR-94:622-9352-008, 622-9352-108, 622-9352-308 & 622-9352-408. TDR-94D:622-9210-008, 622-9210-108, 622-9210-308 & 622-9210-408."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M123,72,FAA AD 2010-07-08,"To prevent separation or seizure of the turbocharger turbine, which could result in full or partial engine power loss, loss of engine oil, and smoke in the airplane cabin.",MIS,19-Apr-2010,DGCA/New Misc/123,,,0:00,,"Kelly Aerospace Energy Systems, LLC (KAES) rebuilt turbochargers listed by part number (P/N) in the Table 1 of this AD. The affected S/Ns are listed in Table III of Kelly Aerospace Energy Systems, LLC SB No. 039 A, dated Feb 10, 2010."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M124,35,FAA AD 2010-11-05,Oxygen Cylinder - Inspection/ Replacement - To prevent an oxygen cylinder from rupturing,MIS,06-Jun-2010,DGCA/New Misc/124,,,0:00,,"Oxygen cylinders with a capacity of 114/115 cubic feet, approved under United States Department of Transportation Regulations for Type 3HT cylinders, identified in Table 1 of this AD. The affected oxygen cylinders may be installed as a component of, but not limited to, the AVOX Systems Inc. and B/E Aerospace cylinder assemblies listed in Table 2 of this AD."
