tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,is_rii,show_in_c_of_a,estimated_man_hours,revision_status
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,100Hrs/90Days Corrosion Inspection,CP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,12,,Every 6 Months,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,12,,Every 300 Hrs Lubrication Inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,12,Bell 430 AMM 12-00-00 page 5,600 Hours /6 Months,LS*,,,0:00,Engine Oil change (300 Hrs/600 Hrs or 6 Months) Ref: Bell 430 AMM 12-00-00 page 5.
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,12,,Every 150hrs/6Mths Lubrication Inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,12,,Every 300Hrs/12Mths Lubrication Inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,12,,Every 25 Hours Lubrication inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,12,,Every 50Hrs Lubrication,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,12,,Every 1200 hours Lubrication Inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,12,,100 Hrs Lubrication Inspection.,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,12,,Every 600Hrs/12Mths Lubrication Inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,Every 3 Years Inspection,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,67,,"Hanger Assembly P/N-222-044-003-109, S/N- BP 219, BP 220 P/N 222-044-003-111, S/N-BP 234",OP*,,,0:00,Overhaul Hanger Assembly Beareing must be Replaced
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,Every 2 Years Inspection,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,Every 50 Hrs/12 Months,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,Every 2500 Hrs Inspection,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,Every 100 Hrs Inspection,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,Every 1200Hrs of Component Operation,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,Every 5 Years Inspection (Fire Ex. HST),OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,600 Hrs/6 Mths of Component Operation,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,Every 600 Hrs Component Inspection,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,600 Hours/12 Months of component operation.,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,300Hrs component Operation Inspection,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,Every 6 Mts Inspection,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,Every 50 Hrs Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,2500 Hours Main rotor blade assembly inspection,ROU*,,,0:00,Replace
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,Every 150 Hrs Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,Transponder System Check,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,every 3 year inspection (airframe),ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,CVR Readout,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,Aeromobile License Renewal,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,Cabin fire Ex-tenguisher Re-weighing S/N. X-721527,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,Cockpit Fire Ext. Monthly Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,Every 5 Years Inspection(Airframe),ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,C of A Renewal,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,2500 Hours Main rotor yoke assembly inspection,ROU*,,,0:00,Replace
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,Cockpit Fire Extinguisher Reweighing,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,Cabin Fire Extinguisher - Yearly Weighing,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,24,,Battery CT,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,Range & performance check,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,600 Hours of Component Operation Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,ARC,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,150Hrs /12Mts Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,Every 600 Hrs Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,Pylon Fluid Mount 2500 HRS Inspection,ROU*,,,0:00,"Remove and replace, one at a time, torque shear pad attaching bolt"
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,FAR 91.411,Altimeter Every 2 year static pressure system test and inspection.,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,Annual Radio Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,Cabin Fire extinguisher HST S/N.-X-723894,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,Cabin Fire Extinguisher Monthly inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,600Hrs(Starter Gen. Brush Check),ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,26,,SQUIBS for ex actuating systems valves (4 Years) (Replace),ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,Fuel MBT,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,25Hrs Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,CVR ULB Functional Test (2 years Functional check),ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,12,,300-600Hr/06Mts Lubrication,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,Cabin fire extinguisher HST,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,Every 300 Hrs Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,Tail Rotor Gearbox Interim Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,5,,5 Calendar Year Inspection - Airframe,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,CVR Annual Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,e199542d-ccb8-4b6b-83c0-b80e721bb376,,101,,Cabin Fire Extinguisher HST (HALON 1211),ROU*,,,0:00,P/N 600R
