tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,DGCA/NEW -MISC/209R 1,25,UK CAA AD: G-2022-0011,ATA 25 - Equipment / Furnishings - Pilot & Co-Pilot Seats - Inspection / Modification,MIS,29-Jun-2022,DGCA/NEW -MISC/209R 1,,,0:00,,"Type 3A063 pilot and co-pilot seats, identified by Part Number (P/N) in Appendix 1 of this AD, all serial numbers. These seats are known to be installed on, but not limited to, ATR-GIE Avions de Transport Régional ATR 42 and ATR 72 aeroplanes"
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,DGCA/NEW -MISC/210 R1,25,EASA AD 2018-0264 R,ATA 25 - Equipment / Furnishings - Life Vest Pouch - Inspection,MIS,09-Apr-2019,DGCA/NEW -MISC/210 R1,,,0:00,,"Centaurus Economy Class 13E, 13H and 13K passenger seats, having a Part Number (P/N) as identified in Appendix 1 of this AD, all serial numbers"
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,DGCA/NEW -MISC/211 R1,25,FAA AD 2018-23-1,"Air Transport Association (ATA) of America Code 25, Equipment/furnishings.",MIS,30-Jan-2019,DGCA/NEW -MISC/211 R1,,,0:00,,"This AD applies to Zodiac Aero Evacuation Systems (also known as Air Cruisers Company) fusible plugs installed on emergency evacuation equipment identified in the service information specified in paragraphs (c)(1) through (c)(16) of this AD. These affected fusible plugs might be installed on the emergency evacuation equipment of the following manufacturers' airplanes: Airbus SAS, The Boeing Company, BAE Systems (Operations) Limited, and Fokker Services B.V."
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,DGCA/NEW -MISC/212,34,EASA AD 2019-0004,ATA 34 - Navigation - Global Navigation Satellite System - Operational Limitation,MIS,30-Jan-2019,DGCA/NEW -MISC/212,,,0:00,,"Thales Global Positioning System/Satellite Based Augmentation System (GPS/SBAS) receivers, Topstar 200 LPV, identified by Part Number (P/N) C17149HA01 and P/N C17149JA02, using SBAS."
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,DGCA/NEW -MISC/213,20,CF-2019-01,"Standard Practices - Helicopter External Transport System (HETS?) - Unapproved Parts, Inadequate Service Life Limits and Maintenance Requirements",MIS,30-Jan-2019,DGCA/NEW -MISC/213,,,0:00,,"HETS? certified under Transport Canada Supplemental Type Certificate (STC) SH98-35, Issue 1 and Issue 2 installed on the following helicopter models: Bell Helicopter Textron Canada Ltd. model 206B, 206L, 206L-1, 206L-3, 206L-4 and 407. Airbus Helicopters (formerly Eurocopter France) model AS 350 B, AS 350 B1, AS 350 B2, AS 350 B3, AS 350 BA and AS 350 D. Airbus Helicopters (formerly Eurocopter France) model AS 355 E, AS 355 F, AS 355 F1 and AS 355 F2. MD Helicopter Inc. model 369, 369A, 369H, 369HM, 369HS, 369HE, 369D, 369E, 369F, 369FF and 500N"
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,DGCA/NEW -MISC/214,32,FAA AD 2018-25-17,"Joint Aircraft Service Component (JASC) Code: 2197, Air Conditioning System Wiring.",MIS,30-Jan-2019,DGCA/NEW -MISC/214,,,0:00,,"This AD applies to the following helicopters, certificated in any category: (1) Airbus Helicopters Model AS350B, AS350B1, AS350B2, AS350B3, AS350BA, AS350C, AS350D, and AS350D1 helicopters with an Air Comm air conditioning system part number (P/N) AS350-202-1, AS350-202-2, AS350-202-3, AS350-202-4, AS350-202-5, AS350-204-1, AS350-204-2, AS350-204-3, AS350-204-4, AS350-204-5, AS350-204-6, AS350-204-7, AS350-204-8, AS350-204-9, AS350-204-10, AS350-204-11, or AS350-204-12 installed. (2) Airbus Helicopters Model EC130B4 helicopters with an Air Comm air conditioning system P/N EC130-202-1, EC130-202-2,EC130-202-3, EC130-202-4, EC130-202-5, EC130-202-6, EC130-202-7, or EC130-202-8 installed. (3) Bell Helicopter Textron Canada Limited (Bell) Model 206A, 206B, 206L, 206L-1, 206L-3, and 206L-4 helicopters with an Air Comm air conditioning system P/N 206EC-200, 206EC-201, 206EC-202, 206EC-203, 206EC-204, 206EC-205, 206EC-206, 206EC-207, 206EC-208, 206EC-209, 206EC-210, 206EC-211, or 206EC-21"
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,DGCA/NEW -MISC/215,34,FAA AD 2019-01-02,"Joint Aircraft System Component (JASC): 3410, Flight Environment Data; and 3420, Attitude and Direction Data System.",MIS,30-Jan-2019,DGCA/NEW -MISC/215,,,0:00,,"(1) This AD applies to Aspen Avionics, Inc., Evolution Flight Display (EFD) EFD1000 Primary Flight Display, EFD1000 Multi-Function Display (MFD), EFD1000 Emergency Backup Display, or EFD500 MFD units, that are installed on various aircraft and meet all conditions in paragraphs (c)(1)(i), (c)(1)(ii), and (c)(1) (iii) of this AD. (i) Software version 2.9 (SW 2.9) is installed; (ii) The Flight Information Service-Broadcast (FIS-B) Weather Interface option is enabled; and (iii) Independent airspeed, attitude, and altitude back-up instruments are not installed"
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,DGCA/NEW -MISC/216,25,EASA AD 2019-0010,ATA 25 - Equipment / Furnishing - Life Jacket - Removal / Repair,MIS,06-Feb-2019,DGCA/NEW -MISC/216,,,0:00,,"Life Jackets, having a Part Number (P/N) 210225-2, and Infant/Small Child Life Jackets, having P/N 216200-0 or P/N 216203-0, and having a serial number as identified in Appendix 1 of this AD."
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,DGCA/NEW -MISC/217,35,FAA AD 2018-21-14,"Joint Aircraft System Component (JASC) Code 3510, Crew Oxygen System",MIS,11-Mar-2019,DGCA/NEW -MISC/217,,,0:00,,"This AD applies to Zodiac Aerotechnics (Zodiac) MC10 series crew oxygen mask regulators fitted with an inflatable harness assembly, part number (P/N) MXH20-1 or MXH21-1"
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,DGCA/NEW -MISC/218,25,FAA AD 2018-07-03,"Joint Aircraft System Component (JASC) Code 2500, Cabin Equipment/Furnishings.",MIS,04-Apr-2019,DGCA/NEW -MISC/218,,,0:00,,"This AD applies to all Zodiac Seats France, 536-Series Cabin Attendant Seats, part number (P/N) 53600, all dash numbers, all serial numbers. These appliances are installed on, but not limited to: Avions de transport regional (ATR) 42 and ATR 72 model airplanes of U.S. registry."
