assembly_models_name,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
BELL 429,429-15-16 Rev C,64,ASB 429-15-16 Rev C,"TAIL ROTOR PITCH LINK BEARING INSPECTION, INTRODUCTION OF.",SB*,16-Oct-2020,ASB 429-15-16 Rev C,,,0:00, ,Serial numbers 57001 and subsequent that have accumulated more than 50 hours.
BELL 429,429-15-16 II,64,ASB 429-15-16 Rev.B,"TAIL ROTOR PITCH LINK BEARING, INSPECTION AND UPGRADE OF.",SB,15-Jun-2016,ASB 429-15-16 Rev.B Part II,,,0:00, ,Serial number 57001 and subsequent.
BELL 429,429-15-17,32,ASB 429-15-17,"WHEELED LANDING GEAR DOOR, IMPROVED HARDWARE, INTRODUCTION OF.",AD#,16-Mar-2015,ASB 429-15-17,,,0:00, ,Serial numbers 57001 and subsequent with wheeled landing gear kit installed.
BELL 429,429-15-17,32,ASB 429-15-17,"WHEELED LANDING GEAR DOOR, IMPROVED HARDWARE, INTRODUCTION OF.",SB#,16-Mar-2015,ASB 429-15-17,,,0:00, ,Serial numbers 57001 and subsequent with wheeled landing gear kit installed.
BELL 429,429-15-18,100,ASB 429-15-18 Rev.A,AMSAFE RESTRAINT SYSTEM INSPECTION,SB#,24-Feb-2015,ASB 429-15-18 Rev.A,,,0:00, ,"Bell 429 models with Serial number 57001 and subsequent. This Service Bulletin is applicable to the Restraint System Assemblies installed on the passenger seats using the 504443-SERIES and 505703-SERIES End Release Buckles manufactured FROM August 2013 to June 2014. The restraint systems that this service bulletin applies to are manufactured by AmSafe, Inc and include the following base part numbers:"
BELL 429,429-15-19,100,ASB 429-15-19,"PYLON RESTRAINT SPRING ASSEMBLY ROD END SERIAL NUMBER, INTRODUCTION OF.",SB,26-Feb-2015,ASB 429-15-19,,,0:00, ,Serial numbers 57001 through 57260.
BELL 429,429-15-20,37,ASB 429-15-20,"EMERGENCY FLOAT MANUAL INFLATION SWITCH, REPLACEMENT OF.",SB#,27-Apr-2015,ASB 429-15-20,,,0:00, ,Serial numbers 57001 through 57279 with emergency float kit installed.
BELL 429,ASB 429-15-21 Rev C,53,ASB 429-15-21 Rev C,"429-001-523-101/-103 AND 429-001-532-101/-103 BELLCRANK ASSEMBLY INSPECTION, INTRODUCTION OF.",SB,23-Aug-2021,ASB 429-15-21 Rev C,,,0:00, ,Serial numbers 57001 through 57296.
BELL 429,429-15-21,100,ASB 429-15-21 Rev C,"429-001-523-101/-103 AND 429-001-532-101/-103 BELLCRANK ASSEMBLY SCHEDULED INSPECTION, INTRODUCTION OF.",SB*,23-Aug-2021,ASB 429-15-21 Rev C,,,0:00, ,429 Helicopters with Serial number 57001 and subsequent.
BELL 429,429-15-21 Part I,27,ASB 429-15-21 Rev.A Part I,"429-001-523-101/-103 AND 429-001-532-101/-103 BELLCRANK ASSEMBLY SCHEDULED INSPECTION, INTRODUCTION OF.",SB,25-Mar-2016,ASB 429-15-21 Rev.A Part I,,,0:00, ,Serial number 57001 and subsequent.
BELL 429,429-15-22,52,ASB 429-15-22,SLIDING DOOR LOWER ROLLER ENGAGEMENT CHECK.,SB,29-Jul-2015,ASB 429-15-22,,,0:00, ,Serial numbers 57001 through 57255 and Serial numbers 57257 through 57292. [Serial number 57293 and subsequent will have the intent of this bulletin accomplished prior to delivery.]
BELL 429,ASB 429-15-22 Rev A,25,ASB 429-15-22 Rev A,SLIDING DOOR LOWER ROLLER ENGAGEMENT CHECK.,SB,17-Mar-2025,ASB 429-15-22 Rev A,,,0:00, ,"Serial numbers 57001 through 57447, 57449 through 57507 and 57509 through 57538."
BELL 429,429-15-23 Part I,43,ASB 429-15-23 Rev A Part I,"ENGINE AND TRANSMISSION OIL CHECK VALVE 209-062-520-001, INSPECTION AND REPLACEMENT OF.",SB,10-Sep-2015,ASB 429-15-23 Rev A Part I,,,0:00, ,"Serial numbers 57001 through 57079 require Part I and II. S/N 57080 through 57149, 57151 through 57156, 57159 through 57169, 57171 through 57197, 57199 through 57201, 57203, 57206, 57207, 57209 through 57214, 57219 through 57221, 57223, 57224, 57226, 57230, 57231, 57238, 57239 require Part I, II, and III of this bulletin. [Serial number 57240 and subsequent will have the intent of this bulletin accomplished prior to delivery.]"
BELL 429,429-15-23 Part III,73,ASB 429-15-23 Rev A Part III,"ENGINE AND TRANSMISSION OIL CHECK VALVE 209-062-520-001, INSPECTION AND REPLACEMENT OF",SB#,10-Sep-2015,ASB 429-15-23 Rev A Part III,,,0:00, ,"S/N 57080 through 57149, 57151 through 57156, 57159 through 57169, 57171 through 57197, 57199 through 57201, 57203, 57206, 57207, 57209 through 57214, 57219 through 57221, 57223, 57224, 57226, 57230, 57231, 57238, 57239 require Part I, II, and III of this bulletin."
BELL 429,429-15-23 Part II,43,ASB 429-15-23 Rev.A Part II,"ENGINE AND TRANSMISSION OIL CHECK VALVE 209-062-520-001, INSPECTION AND REPLACEMENT OF.",SB,10-Sep-2015,ASB 429-15-23 Rev.A Part II,,,0:00, ,"Serial numbers 57001 through 57079 require Part I and II. S/N 57080 through 57149, 57151 through 57156, 57159 through 57169, 57171 through 57197, 57199 through 57201, 57203, 57206, 57207, 57209 through 57214, 57219 through 57221, 57223, 57224, 57226, 57230, 57231, 57238, 57239 require Part I, II, and III of this bulletin. [Serial number 57240 and subsequent will have the intent of this bulletin accomplished prior to delivery.]"
BELL 429,429-15-24,100,ASB 429-15-24 Rev.A,"BHT-429-MM, CHAPTER 4 CHANGES, INTRODUCTION OF",SB,23-Sep-2015,ASB 429-15-24 Rev.A,,,0:00, ,Serial numbers 57001 through 57265.
BELL 429,429-15-25,21,ASB 429-15-25,"INSPECTION FOR FOULING CONDITION BETWEEN AIR COMM AIR CONDITIONER DRAIN HOSE CLAMP AND LONGITUDINAL SCAS ACTUATOR CONNECTOR BACKSHELL, INTRODUCTION OF",SB,29-Sep-2015,ASB 429-15-25,,,0:00, ,Serial number 57001 through 57277 equipped with Air Comm Corporation air conditioner system STC.
BELL 429,429-15-26,64,ASB 429-15-26,"TAIL ROTOR PITCH LINK CORROSION INSPECTION, INTRODUCTION OF",SB*,07-Dec-2015,ASB 429-15-26,,,0:00, ,"PART I: Serial numbers 57001 through 57149,57151 through 57169, 57171 through 57197,57199 through 57214, 57216 through 57227,57229 through 57234, 57236, 572338, 57239, 57242 through 57245, 57248, 57250, 57251, 57254,57256 through 57259, 57266, 57268, 57269, Part II: Serial numbers 57001 through 57309."
BELL 429,429-15-27,1,ASB 429-15-27,"Seat Belt Comfort Clips, Removal of.",SB,11-Jan-2016,ASB 429-15-27,,,0:00, ,Serial numbers 57001 through 57259.
BELL 429,429-16-28,63,ASB 429-16-28,"PYLON PITCH RESTRAINT SPRING ASSEMBLY 429-010-204-101, INSPECTION OF",SB,22-Mar-2016,ASB 429-16-28,,,0:00, ,"Serial numbers 57001 through 57156, 57158 through 57239, 57242 through 57273, 57275, 57277 through 57279, 57289, 57293, and 57294"
BELL 429,429-16-29,26,ASB 429-16-29 Rev.A,"FWD CENTER FIREWALL WELDED ASSEMBLY 429-069-501-101/-109/-113 AND AFT CENTER FIREWALL WELDED ASSEMBLY 429-069-504-101/-103/-105, INSPECTION AND REPAIR OF",SB*,07-Jun-2016,ASB 429-16-29 Rev.A,,,0:00, ,Serial numbers 57001 and subsequent.
BELL 429,429-16-29RB,26,ASB 429-16-29 Rev.B,"FWD CENTER FIREWALL WELDED ASSEMBLY 429-069-501-101/-109/-113 AND AFT CENTER FIREWALL WELDED ASSEMBLY 429-069-504-101/-103/-105, INSPECTION AND REPAIR OF",SB*,25-Mar-2024,ASB 429-16-29 Rev.B,,,0:00, ,Serial numbers 57001 and subsequent.
BELL 429,429-16-29RC,26,ASB 429-16-29 Rev.C,"FWD CENTER FIREWALL WELDED ASSEMBLY 429-069-501-101/-109/-113 AND AFT CENTER FIREWALL WELDED ASSEMBLY 429-069-504-101/-103/-105, INSPECTION AND REPAIR OF",SB*,27-Mar-2024,ASB 429-16-29 Rev.C,,,0:00, ,Serial numbers 57001 and subsequent
BELL 429,429-16-30,63,ASB 429-16-30,"MAIN ROTOR MAST POLE LOWER DRIVE SPLINE INSPECTION, INTRODUCTION OF",SB*,19-Sep-2016,ASB 429-16-30,,,0:00, ,"Serial numbers 57001 through 57149 and 57157, 57158, 57159, 57161 with 429-040-040-101 main rotor mast installed."
BELL 429,429-16-30,63,"ASB 429-16-30 Revision A,","MAIN ROTOR MAST POLE LOWER DRIVE SPLINE INSPECTION, INTRODUCTION OF.",SB*,06-Oct-2016,"ASB 429-16-30 Revision A,",,,0:00, ,"Serial numbers 57001 through 57149 and 57157, 57158, 57159, 57161 with 429-040-040-101 main rotor mast installed. [Serial number 57150 and subsequent with the exception of 57157, 57158, 57159 and 57161 will have the intent of this bulletin accomplished prior to delivery.]"
BELL 429,429-16-31,32,ASB 429-16-31 Rev.A,"WHEELED LANDING GEAR COCKPIT CONTROL PANEL LIMITATION, CHANGE OF.",SB#,27-Jul-2017,ASB 429-16-31 Rev.A,,,0:00, ,"Serial numbers 57150, 57168, 57176, 57210, 57211, 57212, 57213, 57214, 57215, 57216, 57265, 57266, 57267, and 57287"
BELL 429,429-16-32-I,25,ASB 429-16-32,"PYLON PITCH RESTRAINT SPRING ASSEMBLY 429-010-204-101, RECALL OF",SB,07-Nov-2016,ASB 429-16-32,,,0:00, ,"Serial numbers 57001 through 57156, 57158 through 57239, 57242 through 57273, 57275, 57277 through 57279, 57289, 57293, and 57294."
BELL 429,429-16-33 II,63,ASB 429-16-33,"MAIN ROTOR HUB MAST ADAPTER AND MAST INSPECTION, INTRODUCTION OF.",SB*,10-Nov-2016,ASB 429-16-33 Part II,,,0:00, ,"Serial numbers 57001 through 57156, 57158 through 57239, 57241 through 57279, 57289, and 57293 through 57296."
BELL 429,429-16-34,32,ASB 429-16-34,"WHEEL LANDING GEAR LIFE LIMITED PARTS, SERIALIZATION OF.",SB#,10-Nov-2016,ASB 429-16-34,,,0:00, ,"Serial numbers 57150, 57168, 57176, 57210, 57211 through 57216, 57265, 57266, 57267, and 57287."
BELL 429,429-17-35,64,ASB 429-17-35,"TAIL ROTOR BLADE 429-016-101-105, INSPECTION OF.",SB,16-Jan-2017,ASB 429-17-35,,,0:00, ,Serial numbers 57001 through 57296 and 57306.
BELL 429,ASB 429-17-35 RA,64, ,"TAIL ROTOR BLADE 429-016-101-105, INSPECTION OF.",SB,06-Jul-2021,ASB 429-17-35 RA,,,0:00, ,"Serial numbers 57001 and subsequent equipped with tail rotor blades that have serial numbers preceding VL00176338. Tail rotor blade serial numbers beginning with ""A"" or ""BH"" all precede serial numbers beginning with ""VL"" and are affected by this bulletin."
