,174,26,FAA AD 2015-16-04,"To prevent fire extinguishers form failing to operate in the event of a fire, which could jeopardize occupants' safety and continuation of safe flight and landing",MIS,24-Aug-2015,DGCA/New-Misc/174,,,0:00, ,"This AD applies to Kidde Graviner hand-operated fire extinguishers having part numbers 56412-001 (34H), 56411-001 (35H), and 56412-002 (38H). These fire extinguishers may be installed on, but not limited to, aircraft, certificated in any category, specified in paragraphs (c)(1), (c)(2), (c)(3), (c)(4), (c)(5), and (c)(6) of this AD. (1) BAE Systems (Operations) Limited Model ATP airplanes. (2) BAE Systems (Operations) Limited Model 4101 airplanes. (3) Airbus Defense and Space S.A. (Type Certificate previously held by EADS CASA; Construcciones Aeronauticas, S.A.) Model C-212-CB, C-212-CC, C-212-CD, C-212-CE, C-212-CF, C-212-DE, and C-212-DF airplanes. (4) Fokker Services B.V. Model F.27 Mark 050, 100, 200, 300, 400, 500, 600, and 700 airplanes. (5) Short Brothers PLC Model SD3-60 SHERPA, SD3-SHERPA, SD3-30, and SD3-60 airplanes. (6) SHORT BROTHERS & HARLAND LTD SC-7 Series 2 and SC-7 Series 3 airplanes.",Select,Edit,Delete,View
,2018,65,ASB 407-16-113,Tail Rotor Drive Shaft,AD*,21-May-2018,FAA AD 2018-10-06,,,0:00, ,"This AD applies to Bell Model 407 helicopters, certificated in any category.",Select,Edit,Delete,View
,6088,72,CEB 72--6088,"ENGINE, COMBUSTION SECTION -- REPLACEMENT OF COMBUSTION LINER",SB,10-May-2018,CEB 72--6088,,,0:00, ,"All Rolls-Royce M250--C30 Series, --C40, --C47 Series, and --C47E Series engines are affected by this Commercial Engine Bulletin (CEB).",Select,Edit,Delete,View
, ,23,DGCA Letter No.4-18/79 A1,delete,(X),27-Feb-1992,DGCA/New-Misc/6,,,0:00, ,delete,Select,Edit,Delete,View
, ,25, ,delete,(X),12-Nov-1999,DGCA/Bell-407/0,,,0:00, ,Model 407 helicopters serial numbers 53000 through 53342 and 53344.,Select,Edit,Delete,View
, ,28,.,...,(X),10-Aug-2001,..,,,0:00, , ,Select,Edit,Delete,View
, ,34,DGCA Let No.9-414/2002-AI,Installation of FDR,(X),31-Oct-2002,DGCA/NEW-MISC/063,,,0:00, , ,Select,Edit,Delete,View
, ,34,FAA AD 2004-13-20,delete,(X),03-Aug-2004,DGCA/New-Misc/080,,,0:00,N/A, ,Select,Edit,Delete,View
, ,52, ,delete,(X),27-May-1998,ASB,,,0:00, , ,Select,Edit,Delete,View
, ,52,AD 2000-04-25,To Prevent a Door Latch Rod Assembly from Disengaging from the Door Handle,(X),12-Apr-2000,DGCA/Bell-407/0007,,,0:00,Applicable, ,Select,Edit,Delete,View
