id,tenant_id,name,code,address,manager_id,is_active,created_at,updated_at
378158d3-f040-41c5-a0e3-54701eaf5d30,9e2686ba-ef3c-42df-aea6-dcc880436b9f,BHOPAL Unit,BHO-0001,,ce4c64f5-cd8c-4d2d-bbbd-04972c4a7768,true,2025-10-01T01:42:14.48718+00:00,2025-10-01T01:42:14.48718+00:00
713cf352-aae5-4666-b197-e8236c5fc6c8,b133b3ee-5427-4f54-8204-522d12b35870,Dehradun,DT-100001,,8db181ca-ee71-4e94-ada8-a65c4c15a6a7,true,2025-10-02T10:23:21.31263+00:00,2025-10-02T10:23:21.31263+00:00
18e1cd75-b4d5-4e1b-8472-c028829a18f8,37a4d9ca-626d-4ed3-9e71-5d416e7ccaf8,SOS Services-Delhi,SO-000001,,8db181ca-ee71-4e94-ada8-a65c4c15a6a7,true,2025-10-02T12:32:54.215269+00:00,2025-10-02T12:32:54.215269+00:00
