part_no,description,part_type,location,min_stock_level,rate,unit,category,serialized_status
22271BC060036L,Bolt,Vendor Part,VIIIA3,0,4.31,EACH,Expendable,
22271CC040052,Screw,Vendor Part,,0,0,EACH,Expendable,
22271CE040052,Screw,Vendor Part,XD15,0,0.92,EACH,Expendable,
22271TK050016X,Screw,Vendor Part,,0,0,EACH,Expendable,
22272BC030010L,Screw,Vendor Part,,0,0,EACH,Expendable,
22272BC030026L,Screw,Vendor Part,,0,0,EACH,Expendable,
22272BC040006L,Screw,Vendor Part,IIB18,0,0,EACH,Expendable,
22272BC040010L,Bolt,Vendor Part,,0,0,EACH,Expendable,
22272BC040016L,Screw,Vendor Part,,0,0,EACH,Expendable,
22272BC040018L,Screw,Vendor Part,XD4,0,0.71,EACH,Expendable,
22272BC040020L,Screw,Vendor Part,IIA11,0,0,EACH,Expendable,
22272BC050010L,Screw,Vendor Part,XD3,0,0.7,EACH,Expendable,
22272TK050040X,Screw,Vendor Part,,0,0,EACH,Expendable,
22273CE040014,Screw,Vendor Part,XE6,0,0.58,EACH,Expendable,
22273CE040016,Bolt,Vendor Part,XD4,0,0.35,EACH,Expendable,
22273CE040020,Screw,Vendor Part,XC4,0,0.75,EACH,Expendable,
2229012-753-001,BUSHING,Vendor Part,,0,0,Each.,Consumable,
22291AG030008U,Screw,Vendor Part,IXC7,0,0,EACH,Expendable,
22294BC025020L,Bolt,Vendor Part,IXB8,0,0,EACH,Expendable,
222S142-25C-0,"RIGHT ANGLED BOOT,COATED",Vendor Part,,0,0,EACH,Expendable,
2-23,Retainer Static Wick,Vendor Part,,0,0,Each.,Expendable,
2230-00425-00,"Primer,Epoxy Polyamide",Vendor Part,,0,0,LTR,Consumable,
2230-10536-00,Torque Seal (C-049),Vendor Part,,0,0,OZ,Commercial,
223-10500-0000,"Data Card (KLN 90A/B, KLN 900)",Vendor Part,,0,0,EACH,Expendable,
2231230-10A1,MFDAU,Vendor Part,,0,0,EACH,Component,
2231230-10-A-1,FDAU INSTALLATION,Vendor Part,,0,0,EACH,Expendable,
2231230-10-A-1.,FDAU,Vendor Part,,0,0,Each.,Component,
