tenant_id,franchise_id,assembly_models_name,assembly_models,aircraft_template_name,aircraft_template_id,registration,serial_number,directive_no,reference_amp,category_code,ata_code,code_form_no_and_description,last_done_on,work_order_number,notes,frequency,effective_from,current,elapsed,extension,due_at,due_at_airframe,remaining,is_applicable,directive_id,is_row_processed_success,failure_reason,processed_on
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/ PILATUS PC 12/56,FAA AD 2016-12-01,MOD#,57,"DGCA/ PILATUS PC 12/56
Air Transport Association of America (ATA) Code 57: Wings",,,WINGS - WING-TO-FUSELAGE ATTACHMENTS CORRECT INSTALLATION OF TORLON PLATES INSPECTION CARRIED OUT.FOUND CORRECT SEQUENCE OF TORLON PLATE IN LEFT AND RIGHT WING LOWER MAIN SPAR OF FUSELAGE ATTACHMENT. NO FURTHER ACTION REQUIRED.,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/42,AD 2008-02-03,MOD#,32,"DGCA/PILATUS PC 12/42
Air Transport Association of America (ATA) Code 32: Landing Gear",,,N/A AS AFFECTED BOLTS NOT INSTALLED. (LB ENTRY ON 06.02.2008),,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,EASA AD 2009- 0249,,AD#,34,"EASA AD 2009- 0249
Navigation - Air Data, Attitude and Heading Reference System (ADAHRS) - Modification/Replacement",,,Not applicable as per aircraft model and serial number of the aircraft.,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/45R1,EASA AD No.: 2023-0184,MOD,5,"DGCA/PILATUS PC 12/45R1
TIME LIMITS/MAINTENANCE CHECKS- AIRWORTHINESS LIMITATIONS AMENDEMENT",,,AIRWORTHINESS LIMITATION AMENDED,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/7,FAA AD 98-11-20,MOD,1,"DGCA/PILATUS PC 12/7
CREW SEATS",,,N/A AS PER A/C S/N. APPLICABLE FOR MSN 101 THRU 180,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/1,FAA AD 2001 - 22 - 15,MOD,50,"DGCA/PILATUS PC 12/1
Cargo Doors",,,"N/A AS PER A/C S/N AND INSTALLED CARGO DOOR P/N. APPLICABLE TO 552.30.12.051 & 552.30.12.052, INSTALLED CARGO DOOR P/N 552.05.12.010",,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA / NEW MISCELLANEOUS / 268,"DGCA letter reference no.: DGCA-21011/2/2022-AW, dated 19/11/2025",MIS,34,"DGCA / NEW MISCELLANEOUS / 268
5G C-Band (3300 - 3600 MHz) - Fitment of modified Radio Altimeters on aircraft - reg",,,Applicable and will be complied on or before 31st Dec 2027.,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,SB 67-15-0001 Issue 001,SB 67-15-0001 Issue 001,SB$,67,"SB 67-15-0001 Issue 001
Rotor control - Replacement of the leather bellow of the collective stick.",,,Applicable as per aircraft model and will be complied as per customer's choice.,,9885:10 H,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,SB 04-013 REV 02,,SB,4,"SB 04-013 REV 02
AIRWORTHINESSLIMITATIONS - GENERAL PEOPLE'S REPUBLIC OF CHINA (PRC) CERTIFICATION STANDARD PC-12 SERIES AIRCRAFT.",,,Not applicable as per CAAC certification standard.,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA / PILATUS PC-12 / 71,EASA AD No.: 2025-0271,MIS,45,"DGCA / PILATUS PC-12 / 71
ATA 45 - Central Maintenance System - Central Computer / Primus APEX Operational Software - Modification",,,Not applicable as per the serial number of the aircraft. Aircraft serial number is 562.,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,SB 34-047,SB 34-047,SB#,34,"SB 34-047
NAVIGATION - INDEPENDENT POSITION DETERMINING INSTALL ATTENUATORS FOR GLOBAL POSITIONING SYSTEMS 1 AND 2",,,Not applicable as per aircraft model. Aircraft model - Pilatus PC 12/45.,,9883:58 H,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/ PILATUS PC-12/64,,MOD#,53,"DGCA/ PILATUS PC-12/64
JOINT AIRCRAFT SYSTEM COMPONENT (JASC) CODE 5350, AERODYNAMIC FARING.",,,NOT APPLICABLE AS SPECTRE LIFT PLATFORM SYSTEM NOT INSTALLED IN OUR AIRCRAFT (VT-ACG).,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/17,FAA AD 2000-11-14,MOD,30,"DGCA/PILATUS PC 12/17
PNEUMATIC DEICING BOOTS",,,APPLICABLE AND FOUND COMPLIED DURING PRODUCTION.,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,SB 45-036,SB 45-036,SB#,31,"SB 45-036
CENTRAL MAINTENANCE SYSTEM - CENTRAL COMPUTER GARMIN INTEGRATED FLIGHT DECK SOFTWARE UPGRADE TO BUILD",,,Not applicable as per aircraft MSN. Aircraft MSN is 562.,,9883:58 H,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/ PILATUS PC 12/59,FAA AD 2016-26-08,MOD,5,"DGCA/ PILATUS PC 12/59
THE LIMITATIONS WERE REVISED TO INCLUDE REPETITIVE INSPECTIONS OF THE MAIN LANDING GEAR (MLG) ATTACHMENT BOLTS. THESE ACTIONS ARE REQUIRED TO ENSURE THE CONTINUED OPERATIONAL SAFETY OF THE AFFECTED AIRPLANES.",,,N/A BY AIRCRAFT MODEL .APPLICABLE ONLY PC-12/47E AIROPLANES.,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA / NEW MISCELLANEOUS /259,FAA AD 2024-14-03,AD#,22,"DGCA / NEW MISCELLANEOUS /259
Joint Aircraft System Component (JASC) Code 2210, Autopilot System.",,,Not Applicable as our aircraft not equipped with Garmin GFC 500 Auto Pilot system) Honeywell Auto Pilot system installed in our aircraft),,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/47R1,EASA AD 2009-0249,MOD#,34,"DGCA/PILATUS PC 12/47R1
NAVIGATION INCORRECT INFORMATION THE AIR DATA HEADING, ALTITUDE AND HEADING REFERENCE SYSTEM (AD AHRS)-POH TEMPORARY REVISION",,,N/A AS PER A/C MODEL,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/ PILATUS PC-12/68,EASA AD 2022-0212,MOD#,21,"DGCA/ PILATUS PC-12/68
AIR CONDITIONING - VAPOUR CYCLE COOLING SYSTEM / COMPRESSOR CONDENSER CABLES - INSPECTION / MODIFICATION",,,Not applicable as per MSN of Aircraft,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/46,EASA AD 2009-0007,MOD#,30,"DGCA/PILATUS PC 12/46
ICE AND RAIN PROTECTION-OVERBOARD VENT FOR THE AEROFOIL DE ICE SYSTEM PRESSURE REGULATOR- INSTALLATION",,,N/A AS PER A/C S/N. APPLICABLE FOR MSN 101 THRU 320,,,9903:25 H,,,,9903:25 H,,,,,,
