Tenant Name,Franchise Name,Franchise Code,address,manager_id,Franchise Is Active
Miami Global Lines,CAIRO (CAI)01,CAI01,"{""zip"": """", ""city"": """", ""email"": """", ""phone"": """", ""state"": """", ""street"": """", ""country"": """", ""website"": """", ""demographics"": {""languages"": """", ""founded_year"": """", ""revenue_range"": """", ""employee_count"": """"}, ""communication"": {""telegram"": """", ""whatsapp"": """", ""preferred"": """"}}",,TRUE
Miami Global Lines,CAM02,CAM02,"{""zip"": """", ""city"": """", ""email"": """", ""phone"": """", ""state"": """", ""street"": """", ""country"": """", ""website"": """", ""demographics"": {""languages"": """", ""founded_year"": """", ""revenue_range"": """", ""employee_count"": """"}, ""communication"": {""telegram"": """", ""whatsapp"": """", ""preferred"": """"}}",,TRUE
