EnquiryID,EnquiryNo,CompanyName,NextActionDate,Remarks,Type,CurrentDate,,
197,INQ109851,Adel,2020-12-11 00:00:00.000,REMINDER TO BE SENT ON 11TH OF DECEMBER,EnquiryDraft,2020-12-07 12:22:48.303,,
198,INQ109852,ADVANCE EQUIPMENT SERVICE,2020-12-11 00:00:00.000,Reminder to be sent on 11th december,EnquiryDraft,2020-12-07 13:40:19.150,,
199,INQ109853,NULL,2020-12-11 00:00:00.000,Reminder  to be sent on 11th december,EnquiryDraft,2020-12-07 13:43:52.430,,
200,INQ109854,Africom INTL111111,2020-12-11 00:00:00.000,Reminder to be sent on 11th of December,EnquiryDraft,2020-12-07 13:48:36.293,,
201,INQ109855,AFS Intermodel,2020-12-11 00:00:00.000,Reminder to be sent on 11th december,EnquiryDraft,2020-12-07 13:51:12.317,,
202,INQ109856,"Afzal, Farooq",2020-12-11 00:00:00.000,Reminder to be sent on 11th December,EnquiryDraft,2020-12-07 13:53:15.290,,
203,INQ109857,AGHA LLC,2020-12-11 00:00:00.000,reminder to be sent on 11th december,EnquiryDraft,2020-12-07 16:04:59.490,,
203,INQ109857,AGHA LLC,2020-12-11 00:00:00.000,reminder to be sent on 11th december,EnquiryDraft,2020-12-07 16:05:24.363,,
204,INQ109858,AHLAN WA SAHLA,2020-12-11 00:00:00.000,reminder  to be sent on 11th december,EnquiryDraft,2020-12-07 16:09:24.090,,
205,INQ109859,Ahmad,2020-12-11 00:00:00.000,reminder to be sent on 11th december,EnquiryDraft,2020-12-07 16:17:08.813,,
206,INQ109860,TECH MART INC.,2020-12-11 00:00:00.000,reminder to be sent on 11th of december,EnquiryDraft,2020-12-07 16:20:51.107,,
208,INQ109862,Alam,2020-12-11 00:00:00.000,reminder to be sent on 11th december,EnquiryDraft,2020-12-07 16:29:58.307,,
209,INQ109863,Ali  kaid Nassari,2020-12-11 00:00:00.000,Reminder to be sent on 11th December,EnquiryDraft,2020-12-07 16:36:13.537,,
210,INQ109871,Amarnna Inc.,2020-12-14 00:00:00.000,reminder to be sent on 14th December,EnquiryDraft,2020-12-08 14:17:01.077,,
211,INQ109872,AMR RAMADAN,2020-12-14 00:00:00.000,reminder to be sent on 14th December,EnquiryDraft,2020-12-08 14:20:27.343,,
212,INQ109873,Arsenal Group LLC,2020-12-14 00:00:00.000,Reminder to be sent on 14th December,EnquiryDraft,2020-12-08 14:23:30.257,,
213,INQ109874,ATLANTA HOME FURNISHING,2020-12-14 00:00:00.000,Reminder to be sent on 14th December,EnquiryDraft,2020-12-08 14:27:01.807,,
214,INQ109875,NULL,2020-12-14 00:00:00.000,reminder to be sent on 14th december,EnquiryDraft,2020-12-08 14:38:16.477,,
215,INQ109876,Beau Enterprises,2020-12-14 00:00:00.000,Reminder to be sent on 14th december,EnquiryDraft,2020-12-08 14:44:27.433,,
216,INQ109877,Ben,2020-12-14 00:00:00.000,reminder to be sent on 14th december,EnquiryDraft,2020-12-08 14:51:52.500,,
217,INQ109878,AMERI-SOURCE,2020-12-14 00:00:00.000,reminder to be sent on 14th december,EnquiryDraft,2020-12-08 14:57:29.263,,
218,INQ109879,Betsy Gordon,2020-12-14 00:00:00.000,reminder to be sent on 14th December,EnquiryDraft,2020-12-08 15:03:59.933,,
219,INQ109880,All Auto Salvage Inc,2020-12-14 00:00:00.000,Reminder  to be sent on 14th december,EnquiryDraft,2020-12-08 15:08:58.410,,
160,INQ109773,Jinny Beauty Supply,2020-12-22 00:00:00.000,Sent a Follow up email - TR,EnquiryDraft,2020-12-08 16:39:46.190,,
161,INQ109774,M&M wireless Inc.,2020-12-22 00:00:00.000,Send a follow up email - TR  Will call next time,EnquiryDraft,2020-12-08 16:43:35.640,,
162,INQ109775,MA United,2020-12-22 00:00:00.000,Sent a follow up email - TR  try to find number and call.,EnquiryDraft,2020-12-08 16:54:19.137,,
163,INQ109776,SUNCITY DISTRIBUTION LLC,2020-12-22 00:00:00.000,Sent a follow up emai -TR Will try to call if number is found,EnquiryDraft,2020-12-08 16:54:58.523,,
220,INQ109885,ALL CITY LIMOUSINE,2020-12-15 00:00:00.000,reminder to be sent  on 15th December,EnquiryDraft,2020-12-09 11:05:13.380,,
221,INQ109886,NULL,2020-12-15 00:00:00.000,reminder to be sent on 15th december,EnquiryDraft,2020-12-09 11:11:17.240,,
222,INQ109887,ALL GREEN,2020-12-15 00:00:00.000,Reminder to be sent on 15th December,EnquiryDraft,2020-12-09 11:30:06.880,,
223,INQ109888,Allied Agro Foodstuff LLC,2020-12-15 00:00:00.000,reminder to be sent on 15th december,EnquiryDraft,2020-12-09 11:33:45.440,,
224,INQ109889,ALLINGTON,2020-12-15 00:00:00.000,reminder to be sent on 15th december,EnquiryDraft,2020-12-09 11:36:58.300,,
225,INQ109890,ALLRITE LOGISTICS LLC.,2020-12-15 00:00:00.000,reminder  to be sent on 15th december,EnquiryDraft,2020-12-09 11:42:49.920,,
