id,user_id,role_id,tenant_id,franchise_id,assigned_by,assigned_at
17cba2da-3dad-4c2f-9f4b-2d899d1dc7a2,487865d0-e306-406d-aef6-395bb062128e,b8a8b290-986b-4b6a-a996-0051ffc08da1,ce4c64f5-cd8c-4d2d-bbbd-04972c4a7768,,ce4c64f5-cd8c-4d2d-bbbd-04972c4a7768,2025-10-02T14:11:27.979704+00:00
6ae90a04-e1e5-4aea-95ce-6e844af3462d,95b4b8e4-bc7e-4ab5-bda2-395105025e5f,b8a8b290-986b-4b6a-a996-0051ffc08da1,ce4c64f5-cd8c-4d2d-bbbd-04972c4a7768,,ce4c64f5-cd8c-4d2d-bbbd-04972c4a7768,2025-10-02T14:12:21.914774+00:00
277f1059-ec75-47f8-a93b-ee470f348050,31012f13-1380-4b1a-869b-f22456ea514e,b8a8b290-986b-4b6a-a996-0051ffc08da1,ce4c64f5-cd8c-4d2d-bbbd-04972c4a7768,,ce4c64f5-cd8c-4d2d-bbbd-04972c4a7768,2025-10-02T16:12:35.40742+00:00
